% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    133.0000     213.257878    5063.295421    4789.590279    1.613465927    5.045592835   -5.389089927
    134.0000     309.547398    5355.125560    4456.331342    1.595053157    4.678662669   -5.715613377
    135.0000     404.529476    5624.337468    4104.199226    1.569900376    4.291918704   -6.017974105
    136.0000     497.802702    5869.790807    3734.682879    1.538112073    3.886990671   -6.294883585
    137.0000     588.972789    6090.445449    3349.345401    1.499821069    3.465587993   -6.545159680
    138.0000     677.654261    6285.366054    2949.817477    1.455188079    3.029492749   -6.767732317
    139.0000     763.472108    6453.726198    2537.790503    1.404401132    2.580552162   -6.961648707
    140.0000     846.063402    6594.812050    2115.009397    1.347674848    2.120670675   -7.126078068
    141.0000     925.078873    6708.025554    1683.265154    1.285249576    1.651801637   -7.260315786
    142.0000    1000.184418    6792.887105    1244.387166    1.217390387    1.175938646   -7.363786983
    143.0000    1071.062553    6849.037698     800.235347    1.144385935    0.695106618   -7.436049438
    144.0000    1137.413787    6876.240526     352.692102    1.066547182    0.211352616   -7.476795839
    145.0000    1198.957923    6874.382037     -96.345816    0.984206003   -0.273263468   -7.485855321
    146.0000    1255.435266    6843.472415    -544.975520    0.897713671   -0.756678336   -7.463194287
    147.0000    1306.607738    6783.645502    -991.296227    0.807439242   -1.236834723   -7.408916500
    148.0000    1352.259893    6695.158157   -1433.417491    0.713767848   -1.711690784   -7.323262436
    149.0000    1392.199832    6578.389045   -1869.467357    0.617098910   -2.179229373   -7.206607917
    150.0000    1426.260001    6433.836892   -2297.600429    0.517844287   -2.637467121   -7.059462038
    151.0000    1454.297883    6262.118181   -2716.005785    0.416426375   -3.084463282   -6.882464419
    152.0000    1476.196569    6063.964350   -3122.914705    0.313276173   -3.518328249   -6.676381804
    153.0000    1491.865221    5840.218468   -3516.608185    0.208831325   -3.937231726   -6.442104065
    154.0000    1501.239406    5591.831448   -3895.424190    0.103534162   -4.339410481   -6.180639649
    155.0000    1504.281325    5319.857802   -4257.764616   -0.002170255   -4.723175664   -5.893110515
    156.0000    1500.979913    5025.450971   -4602.101941   -0.107836064   -5.086919640   -5.580746629
    157.0000    1491.350834    4709.858261   -4926.985530   -0.213018510   -5.429122338   -5.244880052
    158.0000    1475.436356    4374.415413   -5231.047574   -0.317275802   -5.748357087   -4.886938697
    159.0000    1453.305122    4020.540835   -5513.008649   -0.420170927   -6.043295939   -4.508439794
    160.0000    1425.051808    3649.729535   -5771.682874   -0.521273404   -6.312714484   -4.110983119
    161.0000    1390.796681    3263.546776   -6005.982656   -0.620160986   -6.555496163   -3.696244031
    162.0000    1350.685057    2863.621488   -6214.923015   -0.716421282   -6.770636091   -3.265966365
    163.0000    1304.886658    2451.639464   -6397.625477   -0.809653334   -6.957244413   -2.821955209
    164.0000    1253.594888    2029.336368   -6553.321531   -0.899469108   -7.114549204   -2.366069599
    165.0000    1197.026008    1598.490582   -6681.355646   -0.985494931   -7.241898949   -1.900215152
    166.0000    1135.418236    1160.915918   -6781.187845   -1.067372860   -7.338764601   -1.426336661
    167.0000    1069.030761     718.454213   -6852.395834   -1.144761989   -7.404741266   -0.946410654
    168.0000     998.142688     272.967844   -6894.676678   -1.217339692   -7.439549509   -0.462437933
    169.0000     923.051898    -173.667839   -6907.848040   -1.284802814   -7.443036302    0.023563919
    170.0000     844.073852    -619.572113   -6891.848955   -1.346868799   -7.415175627    0.509568045
    171.0000     761.540318   -1062.866513   -6846.740164   -1.403276768   -7.356068730    0.993545866
    172.0000     675.798041   -1501.682468   -6772.703986   -1.453788537   -7.265944035    1.473474650
    173.0000     587.207351   -1934.168924   -6670.043743   -1.498189584   -7.145156697    1.947345140
    174.0000     496.140719   -2358.499919   -6539.182715   -1.536289956   -6.994187795    2.413169204
    175.0000     402.981250   -2772.882112   -6380.662645   -1.567925119   -6.813643136    2.868987545
    176.0000     308.121141   -3175.562213   -6195.141773   -1.592956736   -6.604251658    3.312877434
    177.0000     211.960084   -3564.834319   -5983.392412   -1.611273388   -6.366863402    3.742960475
    178.0000     114.903632   -3939.047099   -5746.298050   -1.622791202   -6.102447025    4.157410381
    179.0000      17.361530   -4296.610833   -5484.849993   -1.627454406   -5.812086838    4.554460732
    180.0000     -80.253988   -4636.004242   -5200.143540   -1.625235786   -5.496979319    4.932412692
    181.0000    -177.529917   -4955.781099   -4893.373699   -1.616137042   -5.158429110    5.289642643
    182.0000    -274.054232   -5254.576591   -4565.830449   -1.600189024   -4.797844448    5.624609691
    183.0000    -369.417633   -5531.113374   -4218.893553   -1.577451861   -4.416732032    5.935862995
    184.0000    -463.215308   -5784.207321   -3854.026946   -1.548014944   -4.016691314    6.222048859
    185.0000    -555.048682   -6012.772892   -3472.772699   -1.511996776   -3.599408213    6.481917528
    186.0000    -644.527156   -6215.828128   -3076.744586   -1.469544678   -3.166648264    6.714329629
    187.0000    -731.269823   -6392.499201   -2667.621285   -1.420834335   -2.720249210    6.918262175
    188.0000    -814.907151   -6542.024518   -2247.139221   -1.366069192   -2.262113081    7.092814086
    189.0000    -895.082632   -6663.758325   -1817.085105   -1.305479685   -1.794197785    7.237211152
    190.0000    -971.454366   -6757.173798   -1379.288186   -1.239322318   -1.318508261    7.350810381
    191.0000   -1043.696601   -6821.865593    -935.612266   -1.167878580   -0.837087249    7.433103669
    192.0000   -1111.501193   -6857.551825    -487.947511   -1.091453707   -0.352005754    7.483720765
    193.0000   -1174.578989   -6864.075475     -38.202114   -1.010375304    0.134646747    7.502431466
    194.0000   -1232.661126   -6841.405203     411.706158   -0.924991822    0.620772264    7.489147026
    195.0000   -1285.500234   -6789.635552     859.858473   -0.835670920    1.104274333    7.443920762
    196.0000   -1332.871535   -6708.986560    1304.343456   -0.742797702    1.583068076    7.366947836
    197.0000   -1374.573835   -6599.802765    1743.265674   -0.646772864    2.055090164    7.258564223
    198.0000   -1410.430401   -6462.551612    2174.754033   -0.548010759    2.518308644    7.119244880
    199.0000   -1440.289721   -6297.821287    2596.970045   -0.446937386    2.970732507    6.949601133
    200.0000   -1464.026146   -6106.317976    3008.115914   -0.343988344    3.410420967    6.750377319
    201.0000   -1481.540393   -5888.862584    3406.442396   -0.239606745    3.835492350    6.522446733
    202.0000   -1492.759945   -5646.386929    3790.256401   -0.134241114    4.244132552    6.266806918
    203.0000   -1497.639304   -5379.929450    4157.928289   -0.028343298    4.634603016    5.984574360
    204.0000   -1496.160131   -5090.630442    4507.898839    0.077633619    5.005248183    5.676978655
    205.0000   -1488.331259   -4779.726870    4838.685841    0.183237358    5.354502380    5.345356202
    206.0000   -1474.188581   -4448.546780    5148.890311    0.288018454    5.680896138    4.991143494
    207.0000   -1453.794829   -4098.503353    5437.202280    0.391532199    5.983061921    4.615870074
