% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    126.0000    -472.648836    2460.649531    6505.837086    1.547575425    6.956028976   -2.511010841
    127.0000    -378.863519    2872.533314    6341.536578    1.577500538    6.768603855   -2.963741554
    128.0000    -283.481475    3272.310782    6150.436817    1.600780695    6.552626408   -3.404004914
    129.0000    -186.904523    3658.295073    5933.341658    1.617316537    6.308992377   -3.829949507
    130.0000     -89.539613    4028.856561    5691.164385    1.627036447    6.038713217   -4.239780542
    131.0000       8.202848    4382.429696    5424.924081    1.629896975    5.742912652   -4.631767303
    132.0000     105.910705    4717.519625    5135.741570    1.625883166    5.422822752   -5.004250502
    133.0000     203.171763    5032.708563    4824.834907    1.615008790    5.079779523   -5.355649500
    134.0000     299.575521    5326.661885    4493.514450    1.597316453    4.715217988   -5.684469344
    135.0000     394.714899    5598.133905    4143.177513    1.572877595    4.330666757   -5.989307586
    136.0000     488.187968    5845.973317    3775.302613    1.541792358    3.927742081   -6.268860825
    137.0000     579.599661    6069.128261    3391.443343    1.504189323    3.508141400   -6.521930928
    138.0000     668.563471    6266.650989    2993.221876    1.460225114    3.073636385   -6.747430862
    139.0000     754.703118    6437.702094    2582.322134    1.410083846    2.626065516   -6.944390092
    140.0000     837.654177    6581.554287    2160.482651    1.353976448    2.167326209   -7.111959482
    141.0000     917.065662    6697.595687    1729.489152    1.292139821    1.699366530   -7.249415645
    142.0000     992.601558    6785.332597    1291.166895    1.224835869    1.224176559   -7.356164701
    143.0000    1063.942286    6844.391762     847.372804    1.152350375    0.743779434   -7.431745387
    144.0000    1130.786098    6874.522074     399.987434    1.074991747    0.260222154   -7.475831489
    145.0000    1192.850398    6875.595724     -49.093183    0.993089641   -0.224433802   -7.488233563
    146.0000    1249.872967    6847.608785    -497.965781    0.906993452   -0.708121969   -7.468899926
    147.0000    1301.613100    6790.681224    -944.728133    0.817070706   -1.188780435   -7.417916896
    148.0000    1347.852647    6705.056347   -1387.487318    0.723705349   -1.664361344   -7.335508290
    149.0000    1388.396939    6591.099669   -1824.367942    0.627295957   -2.132840297   -7.222034183
    150.0000    1423.075617    6449.297233   -2253.520251    0.528253876   -2.592225574   -7.077988932
    151.0000    1451.743333    6280.253375   -2673.128112    0.427001302   -3.040567122   -6.903998516
    152.0000    1474.280351    6084.687965   -3081.416817    0.323969335   -3.475965234   -6.700817196
    153.0000    1490.593013    5863.433136   -3476.660661    0.219595993   -3.896578870   -6.469323563
    154.0000    1500.614104    5617.429523   -3857.190265    0.114324235   -4.300633568   -6.210515995
    155.0000    1504.303082    5347.722045   -4221.399622    0.008599974   -4.686428913   -5.925507603
    156.0000    1501.646199    5055.455250   -4567.752808   -0.097129885   -5.052345522   -5.615520692
    157.0000    1492.656504    4741.868257   -4894.790366   -0.202419371   -5.396851521   -5.281880815
    158.0000    1477.373727    4408.289325   -5201.135308   -0.306825344   -5.718508510   -4.926010469
    159.0000    1455.864057    4056.130078   -5485.498738   -0.409909336   -6.015976997   -4.549422486
    160.0000    1428.219806    3686.879423   -5746.685069   -0.511239333   -6.288021309   -4.153713175
    161.0000    1394.558970    3302.097185   -5983.596818   -0.610391500   -6.533513984   -3.740555268
    162.0000    1355.024689    2903.407496   -6195.238981   -0.706951838   -6.751439654   -3.311690705
    163.0000    1309.784608    2492.491965   -6380.722965   -0.800517772   -6.940898446   -2.868923302
    164.0000    1259.030149    2071.082657   -6539.270078   -0.890699671   -7.101108906   -2.414111339
    165.0000    1202.975685    1640.954913   -6670.214574   -0.977122295   -7.231410484   -1.949160084
    166.0000    1141.857639    1203.920026   -6773.006249   -1.059426183   -7.331265588   -1.476014280
    167.0000    1075.933495     761.817819   -6847.212583   -1.137268961   -7.400261235   -0.996650609
    168.0000    1005.480738     316.509121   -6892.520428   -1.210326599   -7.438110318   -0.513070134
    169.0000     930.795713    -130.131812   -6908.737248   -1.278294599   -7.444652501   -0.027290731
    170.0000     852.192422    -576.224920   -6895.791894   -1.340889122   -7.419854750    0.458660493
    171.0000     770.001250   -1019.891990   -6853.734937   -1.397848059   -7.363811517    0.942754797
    172.0000     684.567632   -1459.264296   -6782.738530   -1.448932044   -7.276744565    1.422969427
    173.0000     596.250659   -1892.490229   -6683.095825   -1.493925406   -7.159002435    1.897295255
    174.0000     505.421627   -2317.742877   -6555.219921   -1.532637062   -7.011059545    2.363744446
    175.0000     412.462542   -2733.227540   -6399.642358   -1.564901350   -6.833514908    2.820358151
    176.0000     317.764562   -3137.189157   -6217.011142   -1.590578791   -6.627090443    3.265214218
    177.0000     221.726416   -3527.919620   -6008.088316   -1.609556783   -6.392628863    3.696434911
    178.0000     124.752762   -3903.764949   -5773.747059   -1.621750216   -6.131091116    4.112194627
    179.0000      27.252530   -4263.132292   -5514.968330   -1.627102000   -5.843553349    4.510727583
    180.0000     -70.362780   -4604.496737   -5232.837048   -1.625583503   -5.531203380    4.890335442
    181.0000    -167.680810   -4926.407891   -4928.537816   -1.617194885   -5.195336643    5.249394854
    182.0000    -264.290082   -5227.496202   -4603.350205   -1.601965321   -4.837351600    5.586364851
    183.0000    -359.781742   -5506.478991   -4258.643588   -1.579953105   -4.458744603    5.899794063
    184.0000    -453.751308   -5762.166153   -3895.871557   -1.551245621   -4.061104191    6.188327693
    185.0000    -545.800409   -5993.465505   -3516.565927   -1.515959187   -3.646104840    6.450714193
    186.0000    -635.538512   -6199.387744   -3122.330347   -1.474238746   -3.215500154    6.685811579
    187.0000    -722.584632   -6379.050971   -2714.833552   -1.426257412   -2.771115531    6.892593331
    188.0000    -806.568996   -6531.684769   -2295.802267   -1.372215863   -2.314840329    7.070153800
    189.0000    -887.134685   -6656.633797   -1867.013806   -1.312341581   -1.848619554    7.217713071
    190.0000    -963.939205   -6753.360864   -1430.288401   -1.246887931   -1.374445138    7.334621228
    191.0000   -1036.656018   -6821.449478    -987.481286   -1.176133095   -0.894346846    7.420361955
    192.0000   -1104.975990   -6860.605831    -540.474594   -1.100378854   -0.410382877    7.474555440
    193.0000   -1168.608767   -6870.660223     -91.169095   -1.019949225    0.075369766    7.496960542
    194.0000   -1227.284067   -6851.567894     358.524169   -0.935188969    0.560825074    7.487476181
    195.0000   -1280.752875   -6803.409267     806.692309   -0.846461979    1.043897911    7.446141951
    196.0000   -1328.788544   -6726.389603    1251.429030   -0.754149550    1.522513894    7.373137928
    197.0000   -1371.187777   -6620.838058    1690.843033   -0.658648565    1.994619210    7.268783690
    198.0000   -1407.771514   -6487.206159    2123.066338   -0.560369585    2.458190264    7.133536555
    199.0000   -1438.385689   -6326.065704    2546.262476   -0.459734892    2.911243109    6.967989058
    200.0000   -1462.901875   -6138.106114    2958.634506   -0.357176469    3.351842577    6.772865709
    201.0000   -1481.217803   -5924.131234    3358.432826   -0.253133960    3.778111041    6.549019062
    202.0000   -1493.257762   -5685.055631    3743.962712   -0.148052606    4.188236761    6.297425152
    203.0000   -1498.972873   -5421.900400    4113.591584   -0.042381191    4.580481764    6.019178348
    204.0000   -1498.341236   -5135.788518    4465.755933    0.063430002    4.953189212    5.715485689
    205.0000   -1491.367967   -4827.939762    4798.967900    0.168931207    5.304790239    5.387660757
    206.0000   -1478.085099   -4499.665244    5111.821477    0.273675143    5.633810219    5.037117149
    207.0000   -1458.551381   -4152.361582    5402.998300    0.377218935    5.938874483    4.665361624
    208.0000   -1432.851956   -3787.504742    5671.273029    0.479125970    6.218713442    4.273986964
    209.0000   -1401.097929   -3406.643600    5915.518286    0.578967695    6.472167165    3.864664621
    210.0000   -1363.425836   -3011.393233    6134.709151    0.676325329    6.698189383    3.439137195
    211.0000   -1319.997002   -2603.427997    6327.927205    0.770791507    6.895850967    2.999210796
    212.0000   -1270.996814   -2184.474407    6494.364105    0.861971847    7.064342888    2.546747316
    213.0000   -1216.633896   -1756.303854    6633.324699    0.949486435    7.202978672    2.083656659
    214.0000   -1157.139195   -1320.725189    6744.229676    1.032971231    7.311196406    1.611888944
    215.0000   -1092.764994    -879.577205    6826.617739    1.112079407    7.388560280    1.133426715
    216.0000   -1023.783835    -434.721031    6880.147326    1.186482604    7.434761725    0.650277146
    217.0000    -950.487380      11.967525    6904.597847    1.255872118    7.449620138    0.164464278
    218.0000    -873.185195     458.605666    6899.870467    1.319960018    7.433083232   -0.321978724
    219.0000    -792.203473     903.311304    6865.988423    1.378480203    7.385227003   -0.807017299
    220.0000    -707.883695    1344.210752    6803.096878    1.431189379    7.306255344   -1.288623187
    221.0000    -620.581231    1779.446374    6711.462307    1.477867988    7.196499283   -1.764782114
    222.0000    -530.663892    2207.184180    6591.471436    1.518321057    7.056415859   -2.233501459
    223.0000    -438.510431    2625.621348    6443.629707    1.552378989    6.886586622   -2.692817900
    224.0000    -344.508995    3032.993639    6268.559295    1.579898283    6.687715737   -3.140805048
    225.0000    -249.055546    3427.582685    6066.996661    1.600762177    6.460627693   -3.575581044
    226.0000    -152.552232    3807.723134    5839.789657    1.614881216    6.206264572   -3.995316123
    227.0000     -55.405738    4171.809608    5587.894169    1.622193737    5.925682892   -4.398240117
    228.0000      41.974396    4518.303469    5312.370323    1.622666259    5.620049967   -4.782649869
    229.0000     139.177474    4845.739340    5014.378238    1.616293778    5.290639801   -5.146916541
    230.0000     235.793360    5152.731376    4695.173360    1.603099956    4.938828471   -5.489492766
    231.0000     331.414201    5437.979234    4356.101352    1.583137193    4.566089009   -5.808919604
    232.0000     425.636149    5700.273723    3998.592594    1.556486581    4.173985766   -6.103833260
    233.0000     518.061079    5938.502104    3624.156277    1.523257731    3.764168264   -6.372971504
    234.0000     608.298294    6151.653001    3234.374120    1.483588462    3.338364540   -6.615179744
    235.0000     695.966199    6338.820899    2830.893746    1.437644352    2.898374001   -6.829416697
    236.0000     780.693954    6499.210199    2415.421721    1.385618145    2.446059814   -7.014759591
    237.0000     862.123082    6632.138805    1989.716297    1.327729022    1.983340867   -7.170408858
    238.0000     939.909027    6737.041216    1555.579901    1.264221709    1.512183334   -7.295692254
    239.0000    1013.722660    6813.471098    1114.851379    1.195365466    1.034591901   -7.390068363
    240.0000    1083.251712    6861.103326     669.398064    1.121452914    0.552600709   -7.453129443
    241.0000    1148.202143    6879.735473     221.107685    1.042798744    0.068264073   -7.484603581
    242.0000    1208.299418    6869.288737    -228.119829    0.959738297   -0.416352961   -7.484356123
    243.0000    1263.289707    6829.808298    -676.380604    0.872626026   -0.899184133   -7.452390367
    244.0000    1312.940975    6761.463108   -1121.775108    0.781833855   -1.378171507   -7.388847512
    245.0000    1357.043986    6664.545102   -1562.416393    0.687749444   -1.851274946   -7.294005856
    246.0000    1395.413188    6539.467853   -1996.438289    0.590774384   -2.316481452   -7.168279262
    247.0000    1427.887495    6386.764670   -2422.003463    0.491322319   -2.771814309   -7.012214906
    248.0000    1454.330953    6207.086148   -2837.311341    0.389817023   -3.215341952   -6.826490342
    249.0000    1474.633288    6001.197208   -3240.605820    0.286690448   -3.645186518   -6.611909911
    250.0000    1488.710339    5769.973624   -3630.182753    0.182380748   -4.059532013   -6.369400550
    251.0000    1496.504370    5514.398082   -4004.397168    0.077330305   -4.456632051   -6.100007034
    252.0000    1497.984265    5235.555776   -4361.670179   -0.028016242   -4.834817140   -5.804886725
    253.0000    1493.145606    4934.629598   -4700.495576   -0.133213937   -5.192501465   -5.485303866
    254.0000    1482.010633    4612.894920   -5019.446053   -0.237819416   -5.528189173   -5.142623477
    255.0000    1464.628092    4271.714026   -5317.179068   -0.341392778   -5.840480124   -4.778304928
