% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
     85.0000    -235.892344   -5120.277916   -4718.207628   -1.614037732   -4.963599691    5.474208232
     86.0000    -332.167061   -5407.040315   -4379.967248   -1.593970363   -4.591711120    5.796485948
     87.0000    -427.034284   -5670.891447   -4023.117244   -1.567136112   -4.200158839    6.094303442
     88.0000    -520.091066   -5910.700468   -3649.164689   -1.533642068   -3.790589853    6.366362537
     89.0000    -610.941760   -6125.437872   -3259.691358   -1.493624387   -3.364733956    6.611472533
     90.0000    -699.199749   -6314.180240   -2856.347086   -1.447247906   -2.924396584    6.828556420
     91.0000    -784.489153   -6476.114561   -2440.842775   -1.394705594   -2.471451122    7.016656628
     92.0000    -866.446497   -6610.542056   -2014.943067   -1.336217854   -2.007830717    7.174940258
     93.0000    -944.722331   -6716.881514   -1580.458723   -1.272031660   -1.535519620    7.302703716
     94.0000   -1018.982795   -6794.672088   -1139.238743   -1.202419532   -1.056544135    7.399376704
     95.0000   -1088.911116   -6843.575534    -693.162261   -1.127678366   -0.572963208    7.464525512
     96.0000   -1154.209036   -6863.377885    -244.130277   -1.048128099   -0.086858745    7.497855571
     97.0000   -1214.598144   -6853.990535     205.942757   -0.964110248    0.399674275    7.499213228
     98.0000   -1269.821132   -6815.450717     655.137420   -0.875986306    0.884537819    7.468586722
     99.0000   -1319.642936   -6747.921392    1101.537850   -0.784136024    1.365640850    7.406106342
    100.0000   -1363.851779   -6651.690525    1543.240247   -0.688955590    1.840909351    7.312043771
    101.0000   -1402.260105   -6527.169765    1978.361322   -0.590855709    2.308296220    7.186810616
    102.0000   -1434.705383   -6374.892543    2405.046624   -0.490259625    2.765790966    7.030956154
    103.0000   -1461.050806   -6195.511582    2821.478721   -0.387601068    3.211429124    6.845164306
    104.0000   -1481.185850   -5989.795870    3225.885164   -0.283322178    3.643301334    6.630249901
    105.0000   -1495.026723   -5758.627083    3616.546215   -0.177871400    4.059561999    6.387154257
    106.0000   -1502.516676   -5502.995518    3991.802290   -0.071701372    4.458437488    6.116940139
    107.0000   -1503.626192   -5223.995532    4350.061077    0.034733169    4.838233829    5.820786169
    108.0000   -1498.353047   -4922.820553    4689.804307    0.140977460    5.197343858    5.499980716
    109.0000   -1486.722257   -4600.757664    5009.594148    0.246578748    5.534253801    5.155915372
    110.0000   -1468.785889   -4259.181820    5308.079187    0.351088268    5.847549267    4.790078044
    111.0000   -1444.622771   -3899.549718    5584.000000    0.454063165    6.135920656    4.404045753
    112.0000   -1414.338077   -3523.393366    5836.194267    0.555068350    6.398167968    3.999477174
    113.0000   -1378.062809   -3132.313369    6063.601450    0.653678275    6.633205045    3.578105002
    114.0000   -1335.953170   -2727.971996    6265.266996    0.749478634    6.840063230    3.141728168
    115.0000   -1288.189848   -2312.086027    6440.346078    0.842067980    7.017894497    2.692203968
    116.0000   -1234.977188   -1886.419438    6588.106856    0.931059257    7.165974053    2.231440130
    117.0000   -1176.542295   -1452.775941    6707.933266    1.016081258    7.283702439    1.761386864
    118.0000   -1113.134032   -1012.991414    6799.327328    1.096779991    7.370607170    1.284028900
    119.0000   -1045.021956    -568.926247    6861.910984    1.172819976    7.426343929    0.801377554
    120.0000    -972.495166    -122.457622    6895.427450    1.243885455    7.450697328    0.315462808
    121.0000    -895.861086     324.528228    6899.742104    1.309681537    7.443581279   -0.171674565
    122.0000    -815.444182     770.143785    6874.842898    1.369935262    7.405038971   -0.657990846
    123.0000    -731.584615    1212.507986    6820.840299    1.424396607    7.335242465   -1.141447180
    124.0000    -644.636836    1649.753940    6737.966767    1.472839405    7.234491922   -1.620017343
    125.0000    -554.968130    2080.036577    6626.575765    1.515062214    7.103214454   -2.091695483
    126.0000    -462.957107    2501.540225    6487.140306    1.550889101    6.941962597   -2.554503828
    127.0000    -368.992151    2912.486078    6320.251037    1.580170362    6.751412396   -3.006500350
    128.0000    -273.469826    3311.139542    6126.613867    1.602783166    6.532361087   -3.445786393
    129.0000    -176.793242    3695.817428    5907.047138    1.618632117    6.285724365   -3.870514248
    130.0000     -79.370403    4064.894963    5662.478339    1.627649733    6.012533208   -4.278894651
    131.0000      18.387491    4416.812606    5393.940382    1.629796834    5.713930260   -4.669204195
    132.0000     116.067742    4750.082628    5102.567424    1.625062835    5.391165731   -5.039792618
    133.0000     213.257882    5063.295428    4789.590267    1.613465928    5.045592824   -5.389089937
    134.0000     309.547402    5355.125566    4456.331330    1.595053158    4.678662657   -5.715613385
    135.0000     404.529480    5624.337473    4104.199213    1.569900376    4.291918693   -6.017974112
    136.0000     497.802706    5869.790810    3734.682867    1.538112073    3.886990659   -6.294883591
    137.0000     588.972793    6090.445452    3349.345389    1.499821069    3.465587981   -6.545159685
    138.0000     677.654265    6285.366056    2949.817465    1.455188079    3.029492737   -6.767732321
    139.0000     763.472112    6453.726199    2537.790491    1.404401132    2.580552150   -6.961648710
    140.0000     846.063406    6594.812050    2115.009385    1.347674847    2.120670664   -7.126078070
    141.0000     925.078877    6708.025553    1683.265142    1.285249574    1.651801625   -7.260315787
    142.0000    1000.184422    6792.887104    1244.387155    1.217390385    1.175938635   -7.363786983
    143.0000    1071.062556    6849.037695     800.235336    1.144385933    0.695106607   -7.436049437
    144.0000    1137.413790    6876.240523     352.692091    1.066547180    0.211352606   -7.476795838
    145.0000    1198.957926    6874.382034     -96.345827    0.984206001   -0.273263478   -7.485855318
    146.0000    1255.435269    6843.472411    -544.975530    0.897713669   -0.756678346   -7.463194284
    147.0000    1306.607741    6783.645498    -991.296237    0.807439239   -1.236834732   -7.408916496
    148.0000    1352.259896    6695.158152   -1433.417500    0.713767845   -1.711690793   -7.323262431
    149.0000    1392.199835    6578.389040   -1869.467366    0.617098907   -2.179229381   -7.206607911
    150.0000    1426.260004    6433.836886   -2297.600438    0.517844284   -2.637467129   -7.059462033
    151.0000    1454.297885    6262.118175   -2716.005793    0.416426372   -3.084463289   -6.882464413
    152.0000    1476.196571    6063.964343   -3122.914713    0.313276170   -3.518328256   -6.676381798
    153.0000    1491.865222    5840.218461   -3516.608193    0.208831322   -3.937231732   -6.442104058
    154.0000    1501.239408    5591.831440   -3895.424197    0.103534158   -4.339410487   -6.180639641
    155.0000    1504.281327    5319.857794   -4257.764623   -0.002170258   -4.723175669   -5.893110507
    156.0000    1500.979914    5025.450963   -4602.101948   -0.107836068   -5.086919644   -5.580746621
    157.0000    1491.350835    4709.858253   -4926.985536   -0.213018514   -5.429122342   -5.244880044
    158.0000    1475.436357    4374.415404   -5231.047579   -0.317275806   -5.748357090   -4.886938689
    159.0000    1453.305123    4020.540826   -5513.008653   -0.420170930   -6.043295941   -4.508439786
    160.0000    1425.051809    3649.729526   -5771.682878   -0.521273408   -6.312714486   -4.110983111
    161.0000    1390.796682    3263.546768   -6005.982659   -0.620160989   -6.555496164   -3.696244023
    162.0000    1350.685057    2863.621480   -6214.923018   -0.716421286   -6.770636091   -3.265966357
