% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
     85.0000    -236.665787   -5123.122851   -4716.536631   -1.614046360   -4.963105236    5.473183280
     86.0000    -332.939610   -5409.854523   -4378.365693   -1.593933900   -4.591192161    5.795193346
     87.0000    -427.803394   -5673.674918   -4021.601601   -1.567060494   -4.199664957    6.092731095
     88.0000    -520.854589   -5913.456222   -3647.751937   -1.533534569   -3.790172297    6.364505829
     89.0000    -611.698020   -6128.172032   -3258.398528   -1.493493474   -3.364444593    6.609334552
     90.0000    -699.947611   -6316.902039   -2855.190793   -1.447103063   -2.924286818    6.826148048
     91.0000    -785.228077   -6478.836281   -2439.838751   -1.394557134   -2.471570814    7.013996480
     92.0000    -867.176583   -6613.278905   -2014.105704   -1.336076709   -2.008227116    7.172054468
     93.0000    -945.444349   -6719.651439   -1579.800626   -1.271909155   -1.536236338    7.299625584
     94.0000   -1019.698202   -6797.495524   -1138.770313   -1.202327157   -1.057620171    7.396146195
     95.0000   -1089.622062   -6846.475104    -692.891317   -1.127627532   -0.574432052    7.461188631
     96.0000   -1154.918346   -6866.378042    -244.061706   -1.048129903   -0.088747573    7.494463608
     97.0000   -1215.309299   -6857.117157     205.807287   -0.964175235    0.397345299    7.495821897
     98.0000   -1270.538223   -6818.730674     654.799701   -0.876124239    0.881756116    7.465255208
     99.0000   -1320.370614   -6751.382068    1101.003312   -0.784355675    1.362401866    7.402896269
    100.0000   -1364.595189   -6655.359329    1542.518070   -0.689264534    1.837216856    7.309018115
    101.0000   -1403.025250   -6531.071902    1977.469858   -0.591258914    2.304168217    7.184030832
    102.0000   -1435.497264   -6379.057390    2403.991889   -0.490764244    2.761236640    7.028488028
    103.0000   -1461.875986   -6199.961850    2820.286532   -0.388208887    3.206483258    6.843066326
    104.0000   -1482.050580   -5994.554002    3224.579496   -0.284034469    3.638000954    6.628579139
    105.0000   -1495.937274   -5763.713064    3615.154348   -0.178687612    4.053951687    6.385963554
    106.0000   -1503.479230   -5508.426435    3990.354524   -0.072619097    4.452568797    6.116277104
    107.0000   -1504.646728   -5229.785181    4348.590387    0.033718198    4.832164571    5.820692257
    108.0000   -1499.437235   -4928.979084    4688.345948    0.139871344    5.191137278    5.500490405
    109.0000   -1487.875343   -4607.291286    5008.185212    0.245389356    5.527977657    5.157055454
    110.0000   -1470.012597   -4266.092560    5306.758123    0.349825146    5.841274827    4.791867038
    111.0000   -1445.927202   -3906.835244    5582.806099    0.452737417    6.129721628    4.406493449
    112.0000   -1415.723622   -3531.046873    5835.167134    0.553692489    6.392119387    4.002584324
    113.0000   -1379.532068   -3140.323542    6062.780450    0.652266049    6.627382127    3.581863145
    114.0000   -1337.507888   -2736.323028    6264.690703    0.748044831    6.834540224    3.146119612
    115.0000   -1289.830853   -2320.757717    6440.051723    0.840628219    7.012743541    2.697201911
    116.0000   -1236.704354   -1895.387351    6588.129791    0.929629758    7.161264057    2.237008930
    117.0000   -1178.354508   -1462.011637    6708.306445    1.014678604    7.279498018    1.767482446
    118.0000   -1115.029181   -1022.462733    6800.080820    1.095420885    7.366967633    1.290599296
    119.0000   -1046.996930    -578.597659    6863.071516    1.171520987    7.423322346    0.808363564
    120.0000    -974.545869    -132.290628    6897.018001    1.242662772    7.448339691    0.322798781
    121.0000    -897.982470     314.574655    6901.781545    1.308550724    7.441925762   -0.164059856
    122.0000    -817.630290     760.112705    6877.345684    1.368911022    7.404115306   -0.650173235
    123.0000    -733.828640    1202.443977    6823.816229    1.423492552    7.335071443   -1.133506065
    124.0000    -646.931192    1639.702547    6741.420799    1.472067849    7.235085026   -1.612034587
    125.0000    -557.304535    2070.043750    6630.507905    1.514433979    7.104573631   -2.083754273
    126.0000    -465.326679    2491.651744    6491.545561    1.550413346    6.944080167   -2.546687503
    127.0000    -371.385512    2902.746977    6325.119441    1.579854434    6.754271110   -2.998891229
    128.0000    -275.877212    3301.593540    6131.930579    1.602632480    6.535934330   -3.438464607
    129.0000    -179.204625    3686.506378    5912.792601    1.618650061    6.289976492   -3.863556601
    130.0000     -81.775611    4055.858324    5668.628518    1.627837607    6.017420030   -4.272373526
    131.0000      15.998644    4408.086949    5400.467052    1.630153818    5.719399652   -4.663186526
    132.0000     113.705333    4741.701178    5109.438532    1.625585987    5.397158368   -5.034338936
    133.0000     210.931748    5055.287657    4796.770335    1.614150221    5.052043026   -5.384253515
    134.0000     307.267019    5347.516840    4463.781918    1.595891540    4.685499335   -5.711439489
    135.0000     402.303843    5617.148754    4111.879414    1.570883872    4.299066381   -6.014499375
    136.0000     495.640219    5863.038426    3742.549842    1.539229906    3.894370615   -6.292135522
    137.0000     586.881162    6084.140933    3357.354928    1.501060819    3.473119339   -6.543156316
    138.0000     675.640406    6279.516042    2957.924561    1.456535861    3.037093691   -6.766482009
    139.0000     761.542067    6448.332416    2545.949923    1.405841802    2.588141152   -6.961150084
    140.0000     844.222277    6589.871362    2123.176304    1.349192226    2.128167618   -7.126320138
    141.0000     923.330769    6703.530084    1691.395641    1.286826686    1.659129052   -7.261278195
    142.0000     998.532400    6788.824427    1252.438818    1.219009711    1.183022786   -7.365440420
    143.0000    1069.508623    6845.391093     808.167768    1.146029672    0.701878521   -7.438356189
    144.0000    1135.958877    6872.989300     360.467397    1.068197512    0.217749074   -7.479710465
    145.0000    1197.601899    6871.501891     -88.762596    0.985845348   -0.267299046   -7.489325464
    146.0000    1254.176949    6840.935871    -537.615989    0.899324955   -0.751195169   -7.467161580
    147.0000    1305.444945    6781.422364    -984.188338    0.809006137   -1.231874037   -7.413317564
    148.0000    1351.189489    6693.216006   -1426.585257    0.715275007   -1.707285329   -7.328029954
    149.0000    1391.217793    6576.693766   -1862.930658    0.618532181   -2.175403081   -7.211671759
    150.0000    1425.361494    6432.353204   -2291.374873    0.519190906   -2.634234927   -7.064750421
    151.0000    1453.477353    6260.810187   -2710.102645    0.417675133   -3.081831081   -6.887905071
    152.0000    1475.447841    6062.796073   -3117.340929    0.314417559   -3.516293020   -6.681903130
    153.0000    1491.181601    5839.154381   -3511.366470    0.209857633   -3.935781794   -6.447636280
    154.0000    1500.613798    5590.836984   -3890.513124    0.104439573   -4.338525929   -6.186115863
    155.0000    1503.706338    5318.899831   -4253.178890   -0.001389628   -4.722828870   -5.898467752
    156.0000    1500.447985    5024.498244   -4597.832608   -0.107182161   -5.087075942   -5.585926760
    157.0000    1490.854345    4708.881808   -4923.020326   -0.212491344   -5.429740803   -5.249830639
    158.0000    1474.967745    4373.388892   -5227.371284   -0.316873506   -5.749391379   -4.891613715
    159.0000    1452.856993    4019.440829   -5509.603510   -0.419889836   -6.044695259   -4.512800239
    160.0000    1424.617040    3648.535786   -5768.529012   -0.521108166   -6.314424575   -4.114997481
    161.0000    1390.368521    3262.242362   -6003.058548   -0.620104693   -6.557460356   -3.699888635
    162.0000    1350.257209    2862.192931   -6212.205964   -0.716465634   -6.772796376   -3.269225571
    163.0000    1304.453365    2450.076778   -6395.092098   -0.809788814   -6.959542515   -2.824821465
    164.0000    1253.150995    2027.633043   -6550.948232   -0.899685182   -7.116927653   -2.368543360
    165.0000    1196.567015    1596.643501   -6679.119101   -0.985780258   -7.244302109   -1.902304658
    166.0000    1134.940345    1158.925218   -6779.065450   -1.067715516   -7.341139669   -1.428057584
    167.0000    1068.530899     716.323085   -6850.366139   -1.145149694   -7.407039196   -0.947785620
    168.0000     997.618524     270.702283   -6892.719785   -1.217760041   -7.441725866   -0.463495924
    169.0000     922.501844    -176.059335   -6905.945959   -1.285243509   -7.445052026    0.022788264
    170.0000     843.497046    -622.078883   -6889.985924   -1.347317875   -7.416997690    0.509035227
    171.0000     760.936602   -1065.476112   -6844.902911   -1.403722810   -7.357670692    0.993212398
    172.0000     675.167920   -1504.381077   -6770.881941   -1.454220889   -7.267306465    1.473294001
    173.0000     586.551943   -1936.941774   -6668.229189   -1.498598536   -7.146267476    1.947268723
    174.0000     495.461688   -2361.331738   -6537.370883   -1.536666923   -6.995042282    2.413147403
    175.0000     402.280743   -2775.757572   -6378.851745   -1.568262787   -6.814244198    2.868970756
    176.0000     307.401700   -3178.466380   -6193.332962   -1.593249197   -6.604609566    3.312817103
    177.0000     211.224564   -3567.753085   -5981.589701   -1.611516237   -6.366995584    3.742810123
    178.0000     114.155105   -3941.967606   -5744.508152   -1.622981613   -6.102377697    4.157126588
    179.0000      16.603191   -4299.521863   -5483.082113   -1.627591182   -5.811846493    4.554004069
    180.0000     -81.018919   -4638.896575   -5198.409110   -1.625319370   -5.496604111    4.931748585
    181.0000    -178.298296   -4958.647837   -4891.686063   -1.616169501   -5.157960118    5.288742149
    182.0000    -274.823083   -5257.413424   -4564.204506   -1.600174010   -4.797326846    5.623450175
    183.0000    -370.184246   -5533.918805   -4217.345362   -1.577394528   -4.416214175    5.934428689
    184.0000    -463.977324   -5786.982824   -3852.573301   -1.547921846   -4.016223752    6.220331301
    185.0000    -555.804172   -6015.523020   -3471.430678   -1.511875735   -3.599042657    6.479915867
    186.0000    -645.274696   -6218.560548   -3075.531093   -1.469404624   -3.166436516    6.712050779
    187.0000    -732.008553   -6395.224670   -2666.552576   -1.420685130   -2.720242081    6.915720833
    188.0000    -815.636828   -6544.756792   -2246.230444   -1.365921426   -2.262359315    7.090032598
    189.0000    -895.803664   -6666.514004   -1816.349844   -1.305344463   -1.794743006    7.234219231
    190.0000    -972.167842   -6759.972108   -1378.738032   -1.239211032   -1.319393971    7.347644676
    191.0000   -1044.404296   -6824.728108    -935.256413   -1.167802673   -0.838349889    7.429807210
    192.0000   -1112.205567   -6860.502141    -487.792393   -1.091424436   -0.353675848    7.480342265
    193.0000   -1175.283168   -6867.138827     -38.251086   -1.010403501    0.132545347    7.499024518
    194.0000   -1233.368870   -6844.608044     411.453088   -0.925087664    0.618223014    7.485769194
    195.0000   -1286.215891   -6793.005099     859.404853   -0.835843704    1.101268511    7.440632587
    196.0000   -1333.599980   -6712.550309    1303.696537   -0.743055643    1.579605150    7.363811773
    197.0000   -1375.320399   -6603.587989    1742.436492   -0.647122902    2.051178023    7.255643535
    198.0000   -1411.200793   -6466.584855    2173.757425   -0.548458392    2.513963667    7.116602501
    199.0000   -1441.089933   -6302.127849    2595.824591   -0.447486529    2.965979490    6.947298524
    200.0000   -1464.862352   -6110.921417    3006.843815   -0.344641215    3.405292889    6.748473344
    201.0000   -1482.418852   -5893.784240    3405.069284   -0.240363780    3.830029999    6.520996564
    202.0000   -1493.686883   -5651.645461    3788.811082   -0.135100916    4.238384008    6.265860996
    203.0000   -1498.620808   -5385.540419    4156.442432   -0.029302611    4.628623002    5.984177433
    204.0000   -1497.202035   -5096.605940    4506.406600    0.076579892    4.999097294    5.677168902
    205.0000   -1489.439037   -4786.075189    4837.223450    0.182096117    5.348246213    5.346164462
    206.0000   -1475.367240   -4455.272145    5147.495604    0.286798321    5.674604327    4.992592618
    207.0000   -1455.048806   -4105.605711    5435.914207    0.390243418    5.976807096    4.617974397
    208.0000   -1428.572294   -3738.563505    5701.264261    0.491994830    6.253595954    4.223916159
    209.0000   -1396.052220   -3355.705366    5942.429525    0.591624283    6.503822816    3.812102196
    210.0000   -1357.628502   -2958.656604    6158.396963    0.688713510    6.726454035    3.384287170
    211.0000   -1313.465814   -2549.101025    6348.260736    0.782855902    6.920573822    2.942288430
    212.0000   -1263.752836   -2128.773776    6511.225734    0.873658056    7.085387142    2.487978259
    213.0000   -1208.701422   -1699.454019    6646.610634    0.960741265    7.220222128    2.023276070
    214.0000   -1148.545668   -1262.957489    6753.850496    1.043742915    7.324532021    1.550140585
    215.0000   -1083.540915    -821.128931    6832.498885    1.122317816    7.397896671    1.070562017
    216.0000   -1013.962659    -375.834476    6882.229530    1.196139453    7.440023617    0.586554258
    217.0000    -940.105399      71.046043    6902.837507    1.264901172    7.450748769    0.100147090
    218.0000    -862.281408     517.626808    6894.239962    1.328317287    7.430036703   -0.386621579
    219.0000    -780.819447     962.023732    6856.476369    1.386124132    7.377980585   -0.871713461
    220.0000    -696.063412    1402.362164    6789.708315    1.438081036    7.294801732   -1.353097613
    221.0000    -608.370926    1836.784558    6694.218835    1.483971242    7.180848799   -1.828758138
    222.0000    -518.111879    2263.458077    6570.411275    1.523602753    7.036596605   -2.296701876
    223.0000    -425.666920    2680.582121    6418.807699    1.556809116    6.862644571   -2.754966075
    224.0000    -331.425900    3086.395744    6240.046834    1.583450133    6.659714770   -3.201626041
    225.0000    -235.786278    3479.184952    6034.881561    1.603412495    6.428649569   -3.634802759
    226.0000    -139.151492    3857.289829    5804.175940    1.616610347    6.170408836   -4.052670472
    227.0000     -41.929295    4219.111503    5548.901795    1.622985755    5.886066699   -4.453464198
    228.0000      55.469934    4563.118885    5270.134839    1.622509087    5.576807845   -4.835487158
    229.0000     152.634891    4887.855186    4969.050365    1.615179299    5.243923320   -5.197118087
    230.0000     249.155075    5191.944154    4646.918494    1.601024101    4.888805834   -5.536818383
    231.0000     344.622513    5474.096027    4305.099011    1.580100022    4.512944557   -5.853139061
    232.0000     438.633485    5733.113145    3945.035782    1.552492341    4.117919386   -6.144727449
    233.0000     530.790248    5967.895211    3568.250778    1.518314896    3.705394711   -6.410333589
    234.0000     620.702740    6177.444162    3176.337735    1.477709752    3.277112663   -6.648816277
    235.0000     707.990259    6360.868614    2770.955454    1.430846734    2.834885881   -6.859148683
    236.0000     792.283108    6517.387869    2353.820778    1.377922808    2.380589816   -7.040423512
    237.0000     873.224207    6646.335433    1926.701285    1.319161327    1.916154596   -7.191857624
    238.0000     950.470646    6747.162052    1491.407709    1.254811125    1.443556523   -7.312796090
    239.0000    1023.695184    6819.438210    1049.786144    1.185145468    0.964809219   -7.402715610
    240.0000    1092.587680    6862.856099     603.710060    1.110460871    0.481954501   -7.461227276
    241.0000    1156.856447    6877.231028     155.072175    1.031075777   -0.002946956   -7.488078622
    242.0000    1216.229527    6862.502274    -294.223775    0.947329114   -0.487825107   -7.483154958
    243.0000    1270.455875    6818.733355    -742.271324    0.859578738   -0.970610099   -7.446479957
    244.0000    1319.306440    6746.111731   -1187.169572    0.768199771   -1.449241832   -7.378215487
    245.0000    1362.575154    6644.947933   -1627.031457    0.673582852   -1.921679450   -7.278660702
    246.0000    1400.079806    6515.674132   -2059.991944    0.576132308   -2.385910691   -7.148250389
    247.0000    1431.662807    6358.842141   -2484.216092    0.476264267   -2.839961019   -6.987552611
    248.0000    1457.191843    6175.120893   -2897.906967    0.374404722   -3.281902481   -6.797265652
    249.0000    1476.560401    5965.293382   -3299.313342    0.270987566   -3.709862231   -6.578214329
    250.0000    1489.688192    5730.253118   -3686.737166    0.166452614   -4.122030660   -6.331345688
    251.0000    1496.521442    5471.000093   -4058.540755    0.061243613   -4.516669097   -6.057724163
    252.0000    1497.033071    5188.636314   -4413.153676   -0.044193720   -4.892117041   -5.758526222
    253.0000    1491.222750    4884.360902   -4749.079296   -0.149413652   -5.246798890   -5.435034583
    254.0000    1479.116850    4559.464817   -5064.900979   -0.253972335   -5.579230166   -5.088632036
    255.0000    1460.768266    4215.325209   -5359.287893   -0.357429678   -5.888023204   -4.720794946
    256.0000    1436.256144    3853.399460   -5631.000424   -0.459351155   -6.171892313   -4.333086472
    257.0000    1405.685487    3475.218920   -5878.895179   -0.559309557   -6.429658420   -3.927149576
    258.0000    1369.186673    3082.382384   -6101.929554   -0.656886680   -6.660253188   -3.504699841
    259.0000    1326.914861    2676.549337   -6299.165880   -0.751674945   -6.862722643   -3.067518173
    260.0000    1279.049306    2259.432995   -6469.775118   -0.843278948   -7.036230322   -2.617443387
    261.0000    1225.792588    1832.793172   -6613.040109   -0.931316946   -7.180059955   -2.156364735
    262.0000    1167.369746    1398.428997   -6728.358380   -1.015422267   -7.293617717   -1.686214382
    263.0000    1104.027334     958.171510   -6815.244488   -1.095244660   -7.376434062   -1.208959856
    264.0000    1036.032397     513.876159   -6873.331915   -1.170451571   -7.428165163   -0.726596468
